sku,store_view_code,attribute_set_code,product_type,categories,product_websites,name,description,short_description,weight,product_online,tax_class_name,visibility,price,special_price,special_price_from_date,special_price_to_date,url_key,meta_title,meta_keywords,meta_description,base_image,base_image_label,small_image,small_image_label,thumbnail_image,thumbnail_image_label,swatch_image,swatch_image_label,created_at,updated_at,new_from_date,new_to_date,display_product_options_in,map_price,msrp_price,map_enabled,gift_message_available,custom_design,custom_design_from,custom_design_to,custom_layout_update,page_layout,product_options_container,msrp_display_actual_price_type,country_of_manufacture,additional_attributes,qty,out_of_stock_qty,use_config_min_qty,is_qty_decimal,allow_backorders,use_config_backorders,min_cart_qty,use_config_min_sale_qty,max_cart_qty,use_config_max_sale_qty,is_in_stock,notify_on_stock_below,use_config_notify_stock_qty,manage_stock,use_config_manage_stock,use_config_qty_increments,qty_increments,use_config_enable_qty_inc,enable_qty_increments,is_decimal_divided,website_id,related_skus,related_position,crosssell_skus,crosssell_position,upsell_skus,upsell_position,additional_images,additional_image_labels,hide_from_product_page,custom_options,bundle_price_type,bundle_sku_type,bundle_price_view,bundle_weight_type,bundle_values,bundle_shipment_type,associated_skus,configurable_variations,configurable_variation_labels
creditline,,"Custom Forms/Credit Line",virtual,,base,"Credit Line Payment",,,,1,"Non Taxable","Not Visible Individually",1.000000,,,,creditline,Creditline,Creditline,"Creditline ",,,,,,,,,"8/1/20, 7:06 AM","4/5/21, 5:19 AM",,,"Block after Info Column",,,,"Use config",,,,,,,"Use config",,"amxnotif_hide_alert=No,cart2quote_quotable=No,enable_delivery_options=No,in_html_sitemap=Yes,in_xml_sitemap=Yes,ts_packaging_type=None,use_in_crosslinking=Yes,usps_shipping_method=No",99983.0000,0.0000,1,0,0,1,1.0000,1,10000.0000,1,1,10.0000,1,1,0,1,1.0000,1,0,0,0,,,,,,,,,,,,,,,,,,,
"sorting-Red-Lorem Ipsum Sub1",,Default,simple,,base,"sorting-Red-Lorem Ipsum Sub1","<p>One might not think that something as trivial as a description of a product could mean the difference between someone buying or not.</p>","<p>short description highlight</p>",1.000000,1,"Taxable Goods","Not Visible Individually",150.000000,,,,sorting-red-lorem-ipsum-sub1,sorting,sorting,"sorting One might not think that something as trivial as a description of a product could mean the difference between someone buying or not.",,,,,,,,,"8/1/20, 7:49 AM","8/1/20, 7:49 AM",,,"Block after Info Column",,,,No,,,,,,,,,"amxnotif_hide_alert=No,brand=CIS Brand,cart2quote_quotable=Use default,color=Red,configurable_attr_options=color,2,|rings,0,-|hydralic_fluid*,1,-|,enable_advanced_layout=Yes,in_html_sitemap=Yes,in_xml_sitemap=Yes,is_featured=0,rings=Lorem Ipsum Sub1,system_type=Medium,ts_packaging_type=None,use_in_crosslinking=Yes,usps_shipping_method=No",100000.0000,0.0000,1,0,0,1,1.0000,1,10000.0000,1,1,10.0000,1,1,0,1,1.0000,1,0,0,0,,,,,,,,,,,,,,,,,,,
"sorting-Red-Lorem Ipsum Sub2",,Default,simple,,base,"sorting-Red-Lorem Ipsum Sub2","<p>One might not think that something as trivial as a description of a product could mean the difference between someone buying or not.</p>","<p>short description highlight</p>",1.000000,1,"Taxable Goods","Not Visible Individually",150.000000,,,,sorting-red-lorem-ipsum-sub2,sorting,sorting,"sorting One might not think that something as trivial as a description of a product could mean the difference between someone buying or not.",,,,,,,,,"8/1/20, 7:49 AM","8/1/20, 7:49 AM",,,"Block after Info Column",,,,No,,,,,,,,,"amxnotif_hide_alert=No,brand=CIS Brand,cart2quote_quotable=Use default,color=Red,configurable_attr_options=color,2,|rings,0,-|hydralic_fluid*,1,-|,enable_advanced_layout=Yes,in_html_sitemap=Yes,in_xml_sitemap=Yes,is_featured=0,rings=Lorem Ipsum Sub2,system_type=Medium,ts_packaging_type=None,use_in_crosslinking=Yes,usps_shipping_method=No",100000.0000,0.0000,1,0,0,1,1.0000,1,10000.0000,1,1,10.0000,1,1,0,1,1.0000,1,0,0,0,,,,,,,,,,,,,,,,,,,
"sorting-Black-Lorem Ipsum Sub1",,Default,simple,,base,"sorting-Black-Lorem Ipsum Sub1","<p>One might not think that something as trivial as a description of a product could mean the difference between someone buying or not.</p>","<p>short description highlight</p>",1.000000,1,"Taxable Goods","Not Visible Individually",150.000000,,,,sorting-black-lorem-ipsum-sub1,sorting,sorting,"sorting One might not think that something as trivial as a description of a product could mean the difference between someone buying or not.",,,,,,,,,"8/1/20, 7:49 AM","8/1/20, 7:49 AM",,,"Block after Info Column",,,,No,,,,,,,,,"amxnotif_hide_alert=No,brand=CIS Brand,cart2quote_quotable=Use default,color=Black,configurable_attr_options=color,2,|rings,0,-|hydralic_fluid*,1,-|,enable_advanced_layout=Yes,in_html_sitemap=Yes,in_xml_sitemap=Yes,is_featured=0,rings=Lorem Ipsum Sub1,system_type=Medium,ts_packaging_type=None,use_in_crosslinking=Yes,usps_shipping_method=No",100000.0000,0.0000,1,0,0,1,1.0000,1,10000.0000,1,1,10.0000,1,1,0,1,1.0000,1,0,0,0,,,,,,,,,,,,,,,,,,,
"sorting-Black-Lorem Ipsum Sub2",,Default,simple,,base,"sorting-Black-Lorem Ipsum Sub2","<p>One might not think that something as trivial as a description of a product could mean the difference between someone buying or not.</p>","<p>short description highlight</p>",1.000000,1,"Taxable Goods","Not Visible Individually",150.000000,,,,sorting-black-lorem-ipsum-sub2,sorting,sorting,"sorting One might not think that something as trivial as a description of a product could mean the difference between someone buying or not.",,,,,,,,,"8/1/20, 7:49 AM","8/1/20, 7:49 AM",,,"Block after Info Column",,,,No,,,,,,,,,"amxnotif_hide_alert=No,brand=CIS Brand,cart2quote_quotable=Use default,color=Black,configurable_attr_options=color,2,|rings,0,-|hydralic_fluid*,1,-|,enable_advanced_layout=Yes,in_html_sitemap=Yes,in_xml_sitemap=Yes,is_featured=0,rings=Lorem Ipsum Sub2,system_type=Medium,ts_packaging_type=None,use_in_crosslinking=Yes,usps_shipping_method=No",100000.0000,0.0000,1,0,0,1,1.0000,1,10000.0000,1,1,10.0000,1,1,0,1,1.0000,1,0,0,0,,,,,,,,,,,,,,,,,,,
DG5V-H8-Red-20B,,Default,simple,"Default Category/Featured Products,Default Category/Products/Electrical",base,"DG5V-H8 - Directional Control Valve-Red-20B","One might not think that something as trivial as a description of a product could mean the difference between someone buying or not. Yet it is a good way of pushing someone who may not have been thinking about acquiring a certain product to consider it and then even take the step towards a purchase.

There is a fine line to walk between being overly descriptive and being too vague. Take the following sentence (taking from a website for a hotel in New York), for example, “Techno-glam energy surges through the one-bedroom Fantastic Suite in a bolt of cool electric blue, sparkling with Times Square energy in your own urban sanctuary atop the dazzling Broadway lights.” A description like this might make one sceptical more than interested. Can something really be so fantastical? On the other hand, a product that has too little information might make you wonder if there might be something wrong with the product and that’s why so little is said about it.

To know what type of product descriptions to use in your electronic product catalogue, you need to know to what type of customer you are appealing to. ",,2.000000,1,"Taxable Goods","Catalog, Search",180.000000,,,,dg5v-h8-directional-control-valve-red-20b,"test config2","test config2","test config2 ",/m/o/motors-mht-multi-torque-type_31_5.jpg,,/m/o/motors-mht-multi-torque-type_31_5.jpg,,/m/o/motors-mht-multi-torque-type_31_5.jpg,,/m/o/motors-mht-multi-torque-type_31_5.jpg,,"8/1/20, 7:53 AM","4/18/21, 1:30 AM",,,"Block after Info Column",,,,No,,,,,,,"Use config",,"amxnotif_hide_alert=No,brand=Tokyo Keiki / Tokimec,cart2quote_quotable=Use default,color=Red,cover_end_displace=2,cover_port=B,enable_advanced_layout=No,enable_delivery_options=Yes,featured_sort_no=25,height=1.5,hydraulic_fluid=–,in_html_sitemap=Yes,in_xml_sitemap=Yes,is_featured=0,length=1,mid_port=B,mid_pump_displace=11,model_no=DG5V-H8-Red-20B MN_12_VCD,pump_mounting=2,shaft_end_displace=25,shaft_port=A,solenoid=20B,system_type=Medium,test_vm_type=1,ts_packaging_type=None,use_in_crosslinking=Yes,usps_shipping_method=No,weltpixel_hover_image=/m/o/motors-mht-multi-torque-type_31_5.jpg,width=1",72.0000,0.0000,1,0,0,1,1.0000,1,10000.0000,1,1,10.0000,1,1,0,1,1.0000,1,0,0,0,,,,,,,/m/o/motors-mht-multi-torque-type_31_5.jpg,,,,,,,,,,,,
"DG5V-H8-Red-30B - NoModel",,Default,simple,"Default Category/Products/Hydraulics,Default Category/Featured Products",base,"DG5V-H8 - Directional Control Valve-Red-30B","One might not think that something as trivial as a description of a product could mean the difference between someone buying or not. Yet it is a good way of pushing someone who may not have been thinking about acquiring a certain product to consider it and then even take the step towards a purchase.

There is a fine line to walk between being overly descriptive and being too vague. Take the following sentence (taking from a website for a hotel in New York), for example, “Techno-glam energy surges through the one-bedroom Fantastic Suite in a bolt of cool electric blue, sparkling with Times Square energy in your own urban sanctuary atop the dazzling Broadway lights.” A description like this might make one sceptical more than interested. Can something really be so fantastical? On the other hand, a product that has too little information might make you wonder if there might be something wrong with the product and that’s why so little is said about it.

To know what type of product descriptions to use in your electronic product catalogue, you need to know to what type of customer you are appealing to. ",,2.000000,1,"Taxable Goods","Not Visible Individually",180.000000,,,,dg5v-h8-directional-control-valve-red-30b,"test config2","test config2","test config2 ",/c/i/cis_logo_1.png,,/c/i/cis_logo_1.png,,/c/i/cis_logo_1.png,,/c/i/cis_logo_1.png,,"8/1/20, 7:53 AM","11/9/20, 7:50 AM",,,"Block after Info Column",,,,No,,,,,,,"Use config",,"amxnotif_hide_alert=No,brand=Tokyo Keiki / Tokimec,cart2quote_quotable=Use default,color=Red,configurable_attr_options=hydralic_fluid*,1|color,3,-|solenoid,2|,cover_end_displace=2,cover_port=B,enable_advanced_layout=No,enable_delivery_options=No,expedited_delivery_time=Ships In 1 - 3 Days,featured_sort_no=0,height=1.5,hydraulic_fluid=–,in_html_sitemap=Yes,in_xml_sitemap=Yes,is_featured=0,length=1,mid_port=B,mid_pump_displace=11,pump_mounting=2,shaft_end_displace=25,shaft_port=C,solenoid=30B,standard_delivery_time=Ships in 10 - 14 Weeks,system_type=Medium,ts_packaging_type=None,use_in_crosslinking=Yes,usps_shipping_method=No,weltpixel_hover_image=/c/i/cis_logo_1.png,width=1",99999.0000,0.0000,1,0,0,1,1.0000,1,10000.0000,1,1,1.0000,1,1,0,1,1.0000,1,0,0,0,,,,,,,/c/i/cis_logo_1.png,,,,,,,,,,,,
"DG5V-H8-Black-20 B23 DG5V",,Default,simple,"Default Category/Featured Products,Default Category/Products/Mechanical,Default Category/Products/Energy Systems/Power grid analysis,Default Category/Products/Containers \/ Overloads/Lorem Ipsum",base,"DG5V-H8 - Directional Control Valve-Black-20B","One might not think that something as trivial as a description of a product could mean the difference between someone buying or not. Yet it is a good way of pushing someone who may not have been thinking about acquiring a certain product to consider it and then even take the step towards a purchase.

There is a fine line to walk between being overly descriptive and being too vague. Take the following sentence (taking from a website for a hotel in New York), for example, “Techno-glam energy surges through the one-bedroom Fantastic Suite in a bolt of cool electric blue, sparkling with Times Square energy in your own urban sanctuary atop the dazzling Broadway lights.” A description like this might make one sceptical more than interested. Can something really be so fantastical? On the other hand, a product that has too little information might make you wonder if there might be something wrong with the product and that’s why so little is said about it.

To know what type of product descriptions to use in your electronic product catalogue, you need to know to what type of customer you are appealing to. ",,2.000000,1,"Taxable Goods","Catalog, Search",180.000000,,,,dg5v-h8-directional-control-valve-black-20b,"test config2","test config2","test config2 ",/m/o/motor-images-14_2.jpg,,/m/o/motor-images-14_2.jpg,,/m/o/motor-images-14_2.jpg,,/m/o/motor-images-14_2.jpg,,"8/1/20, 7:53 AM","4/18/21, 1:33 AM",,,"Block after Info Column",,,,No,,,,,,,"Use config",,"amxnotif_hide_alert=No,brand=Diollo,cart2quote_quotable=Use default,color=Black,cover_end_displace=8,cover_port=D,enable_advanced_layout=No,enable_delivery_options=Yes,featured_sort_no=27,height=1,hydraulic_fluid=–,in_html_sitemap=Yes,in_xml_sitemap=Yes,is_featured=0,length=1,mid_port=D,mid_pump_displace=8,model_no=DG5V MN_12_VCD,pump_mounting=–,shaft_end_displace=25,shaft_port=D,solenoid=20B,system_type=Medium,ts_packaging_type=None,use_in_crosslinking=Yes,usps_shipping_method=No,weltpixel_hover_image=/m/o/motor-images-14_2.jpg,width=1",99967.0000,0.0000,1,0,0,1,1.0000,1,10000.0000,1,1,10.0000,1,1,0,1,1.0000,1,0,0,0,"578452,457466,DG4M4-30B-115AC60,DG4M4-VRTCL,578452-1","1,2,3,4,5",,,,,/m/o/motor-images-14_2.jpg,,,,,,,,,,,,
"DG5V-H8-Black-30B - NoModel",,Default,simple,"Default Category/Products/Hydraulics,Default Category/Featured Products",base,"DG5V-H8 - Directional Control Valve-Black-30B","One might not think that something as trivial as a description of a product could mean the difference between someone buying or not. Yet it is a good way of pushing someone who may not have been thinking about acquiring a certain product to consider it and then even take the step towards a purchase.

There is a fine line to walk between being overly descriptive and being too vague. Take the following sentence (taking from a website for a hotel in New York), for example, “Techno-glam energy surges through the one-bedroom Fantastic Suite in a bolt of cool electric blue, sparkling with Times Square energy in your own urban sanctuary atop the dazzling Broadway lights.” A description like this might make one sceptical more than interested. Can something really be so fantastical? On the other hand, a product that has too little information might make you wonder if there might be something wrong with the product and that’s why so little is said about it.

To know what type of product descriptions to use in your electronic product catalogue, you need to know to what type of customer you are appealing to. ",,2.000000,1,"Taxable Goods","Not Visible Individually",180.000000,,,,dg5v-h8-directional-control-valve-black-30b,"test config2","test config2","test config2 ",/m/o/motor-2020.jpg,,/m/o/motor-2020.jpg,,/m/o/motor-2020.jpg,,/m/o/motor-2020.jpg,,"8/1/20, 7:53 AM","11/9/20, 7:49 AM",,,"Block after Info Column",,,,No,,,,,,,"Use config",,"amxnotif_hide_alert=No,brand=Tokyo Keiki / Tokimec,cart2quote_quotable=Use default,color=Black,configurable_attr_options=hydralic_fluid*,1|color,3,-|solenoid,2|,cover_end_displace=2,cover_port=B,enable_advanced_layout=No,enable_delivery_options=No,expedited_delivery_time=Ships In 1 - 3 Days,featured_sort_no=0,height=1.5,hydraulic_fluid=–,in_html_sitemap=Yes,in_xml_sitemap=Yes,is_featured=0,length=1,mid_port=B,mid_pump_displace=11,pump_mounting=2,shaft_end_displace=25,shaft_port=A,solenoid=30B,standard_delivery_time=Ships in 10 - 14 Weeks,system_type=Medium,ts_packaging_type=None,use_in_crosslinking=Yes,usps_shipping_method=No,weltpixel_hover_image=/m/o/motor-2020.jpg,width=1",100000.0000,0.0000,1,0,0,1,1.0000,1,10000.0000,1,1,1.0000,1,1,0,1,1.0000,1,0,0,0,,,,,,,/m/o/motor-2020.jpg,,,,,,,,,,,,
DG5V-H8-Blue-20B,,Default,simple,"Default Category/Products/Hydraulics,Default Category/Featured Products",base,"DG5V-H8 - Directional Control Valve-Blue-20B","One might not think that something as trivial as a description of a product could mean the difference between someone buying or not. Yet it is a good way of pushing someone who may not have been thinking about acquiring a certain product to consider it and then even take the step towards a purchase.

There is a fine line to walk between being overly descriptive and being too vague. Take the following sentence (taking from a website for a hotel in New York), for example, “Techno-glam energy surges through the one-bedroom Fantastic Suite in a bolt of cool electric blue, sparkling with Times Square energy in your own urban sanctuary atop the dazzling Broadway lights.” A description like this might make one sceptical more than interested. Can something really be so fantastical? On the other hand, a product that has too little information might make you wonder if there might be something wrong with the product and that’s why so little is said about it.

To know what type of product descriptions to use in your electronic product catalogue, you need to know to what type of customer you are appealing to. ",,2.000000,1,"Taxable Goods","Catalog, Search",180.000000,,,,dg5v-h8-directional-control-valve-blue-20b,"test config2","test config2","test config2 ",no_selection,,no_selection,,no_selection,,no_selection,,"8/1/20, 7:53 AM","4/18/21, 1:31 AM",,,"Block after Info Column",,,,No,,,,,,,"Use config",,"amxnotif_hide_alert=No,brand=Tokyo Keiki / Tokimec,cart2quote_quotable=Use default,color=Blue,cover_end_displace=2,cover_port=B,dev_port=1,displace=1,enable_advanced_layout=No,enable_delivery_options=No,expedited_delivery_time=Ships In 1 - 3 Days,featured_sort_no=26,height=1,hydraulic_fluid=F11,in_html_sitemap=Yes,in_xml_sitemap=Yes,is_featured=0,length=1,mid_port=B,mid_pump_displace=11,model_no=DG5V-H8-Blue-20B MN_12_VCD,pump_mount=1,pump_mounting=2,rotation=1,shaft_config=1,shaft_end_displace=25,shaft_port=A,solenoid=20B,special=1,standard_delivery_time=Ships in 10 - 14 Weeks,system_type=Medium,ts_packaging_type=None,use_in_crosslinking=Yes,usps_shipping_method=No,weltpixel_hover_image=no_selection,width=1",99950.0000,0.0000,1,0,0,1,1.0000,1,10000.0000,1,1,10.0000,1,1,0,1,1.0000,1,0,0,0,,,,,,,,,,,,,,,,,,,
DG5V-H8-Blue-30B,,Default,simple,"Default Category/Products/Hydraulics,Default Category/Featured Products",base,"DG5V-H8 - Directional Control Valve-Blue-30B","One might not think that something as trivial as a description of a product could mean the difference between someone buying or not. Yet it is a good way of pushing someone who may not have been thinking about acquiring a certain product to consider it and then even take the step towards a purchase.

There is a fine line to walk between being overly descriptive and being too vague. Take the following sentence (taking from a website for a hotel in New York), for example, “Techno-glam energy surges through the one-bedroom Fantastic Suite in a bolt of cool electric blue, sparkling with Times Square energy in your own urban sanctuary atop the dazzling Broadway lights.” A description like this might make one sceptical more than interested. Can something really be so fantastical? On the other hand, a product that has too little information might make you wonder if there might be something wrong with the product and that’s why so little is said about it.

To know what type of product descriptions to use in your electronic product catalogue, you need to know to what type of customer you are appealing to. ",,2.000000,1,"Taxable Goods","Not Visible Individually",180.000000,,,,dg5v-h8-directional-control-valve-blue-30b,"test config2","test config2","test config2 ",/m/o/motor-images-14_3.jpg,,/m/o/motor-images-14_3.jpg,,/m/o/motor-images-14_3.jpg,,/m/o/motor-images-14_3.jpg,,"8/1/20, 7:53 AM","11/9/20, 7:51 AM",,,"Block after Info Column",,,,No,,,,,,,"Use config",,"amxnotif_hide_alert=No,brand=Tokyo Keiki / Tokimec,cart2quote_quotable=Use default,color=Blue,configurable_attr_options=hydralic_fluid*,1|color,3,-|solenoid,2|,cover_end_displace=2,cover_port=B,enable_advanced_layout=No,enable_delivery_options=No,expedited_delivery_time=Ships In 1 - 3 Days,featured_sort_no=0,height=1.5,hydraulic_fluid=–,in_html_sitemap=Yes,in_xml_sitemap=Yes,is_featured=0,length=1,mid_port=B,mid_pump_displace=11,model_no=DG5V-H8-Blue-30B MN_12_VCD,pump_mounting=2,shaft_end_displace=25,shaft_port=A,solenoid=30B,standard_delivery_time=Ships in 10 - 14 Weeks,system_type=Medium,ts_packaging_type=None,use_in_crosslinking=Yes,usps_shipping_method=No,weltpixel_hover_image=/m/o/motor-images-14_3.jpg,width=1",99996.0000,0.0000,1,0,0,1,1.0000,1,10000.0000,1,1,1.0000,1,1,0,1,1.0000,1,0,0,0,,,,,,,/m/o/motor-images-14_3.jpg,,,,,,,,,,,,
DG5V-H8-Brown-20B,,Default,simple,"Default Category/Products/Hydraulics,Default Category/Featured Products",base,"DG5V-H8 - Directional Control Valve-Brown-20B","One might not think that something as trivial as a description of a product could mean the difference between someone buying or not. Yet it is a good way of pushing someone who may not have been thinking about acquiring a certain product to consider it and then even take the step towards a purchase.

There is a fine line to walk between being overly descriptive and being too vague. Take the following sentence (taking from a website for a hotel in New York), for example, “Techno-glam energy surges through the one-bedroom Fantastic Suite in a bolt of cool electric blue, sparkling with Times Square energy in your own urban sanctuary atop the dazzling Broadway lights.” A description like this might make one sceptical more than interested. Can something really be so fantastical? On the other hand, a product that has too little information might make you wonder if there might be something wrong with the product and that’s why so little is said about it.

To know what type of product descriptions to use in your electronic product catalogue, you need to know to what type of customer you are appealing to. ",,2.000000,1,"Taxable Goods","Not Visible Individually",180.000000,,,,dg5v-h8-directional-control-valve-brown-20b,"test config2","test config2","test config2 ",/m/o/motors-mht-multi-torque-type_31_5_1.jpg,,/m/o/motors-mht-multi-torque-type_31_5_1.jpg,,/m/o/motors-mht-multi-torque-type_31_5_1.jpg,,/m/o/motors-mht-multi-torque-type_31_5_1.jpg,,"8/1/20, 7:53 AM","11/9/20, 7:45 AM",,,"Block after Info Column",,,,No,,,,,,,"Use config",,"amxnotif_hide_alert=No,brand=Tokyo Keiki / Tokimec,cart2quote_quotable=Use default,color=Brown,configurable_attr_options=hydralic_fluid*,1|color,3,-|solenoid,2|,cover_end_displace=2,cover_port=B,enable_advanced_layout=No,enable_delivery_options=No,expedited_delivery_time=Ships In 1 - 3 Days,featured_sort_no=0,height=1.5,hydraulic_fluid=–,in_html_sitemap=Yes,in_xml_sitemap=Yes,is_featured=0,length=1,mid_port=B,mid_pump_displace=11,model_no=DG5V-H8-Brown-20B MN_12_VCD,pump_mounting=2,shaft_end_displace=25,shaft_port=A,solenoid=20B,standard_delivery_time=Ships in 10 - 14 Weeks,system_type=Medium,ts_packaging_type=None,use_in_crosslinking=Yes,usps_shipping_method=No,weltpixel_hover_image=/m/o/motors-mht-multi-torque-type_31_5_1.jpg,width=1",100000.0000,0.0000,1,0,0,1,1.0000,1,10000.0000,1,1,1.0000,1,1,0,1,1.0000,1,0,0,0,,,,,,,/m/o/motors-mht-multi-torque-type_31_5_1.jpg,,,,,,,,,,,,
DG5V-H8-Brown-30B,,Default,simple,"Default Category/Products/Hydraulics,Default Category/Featured Products",base,"DG5V-H8 - Directional Control Valve-Brown-30B","One might not think that something as trivial as a description of a product could mean the difference between someone buying or not. Yet it is a good way of pushing someone who may not have been thinking about acquiring a certain product to consider it and then even take the step towards a purchase.

There is a fine line to walk between being overly descriptive and being too vague. Take the following sentence (taking from a website for a hotel in New York), for example, “Techno-glam energy surges through the one-bedroom Fantastic Suite in a bolt of cool electric blue, sparkling with Times Square energy in your own urban sanctuary atop the dazzling Broadway lights.” A description like this might make one sceptical more than interested. Can something really be so fantastical? On the other hand, a product that has too little information might make you wonder if there might be something wrong with the product and that’s why so little is said about it.

To know what type of product descriptions to use in your electronic product catalogue, you need to know to what type of customer you are appealing to. ",,2.000000,1,"Taxable Goods","Not Visible Individually",180.000000,,,,dg5v-h8-directional-control-valve-brown-30b,"test config2","test config2","test config2 ",/m/o/motors-mht-multi-torque-type_31_5_2.jpg,,/m/o/motors-mht-multi-torque-type_31_5_2.jpg,,/m/o/motors-mht-multi-torque-type_31_5_2.jpg,,/m/o/motors-mht-multi-torque-type_31_5_2.jpg,,"8/1/20, 7:53 AM","11/9/20, 7:51 AM",,,"Block after Info Column",,,,No,,,,,,,"Use config",,"amxnotif_hide_alert=No,brand=Tokyo Keiki / Tokimec,cart2quote_quotable=Use default,color=Brown,configurable_attr_options=hydralic_fluid*,1|color,3,-|solenoid,2|,cover_end_displace=2,cover_port=B,enable_advanced_layout=No,enable_delivery_options=No,expedited_delivery_time=Ships In 1 - 3 Days,featured_sort_no=0,height=1.5,hydraulic_fluid=–,in_html_sitemap=Yes,in_xml_sitemap=Yes,is_featured=0,length=1,mid_port=B,mid_pump_displace=11,model_no=DG5V-H8-Brown-30B MN_12_VCD,pump_mounting=2,shaft_end_displace=25,shaft_port=A,solenoid=30B,standard_delivery_time=Ships in 10 - 14 Weeks,system_type=Medium,ts_packaging_type=None,use_in_crosslinking=Yes,usps_shipping_method=No,weltpixel_hover_image=/m/o/motors-mht-multi-torque-type_31_5_2.jpg,width=1",100000.0000,0.0000,1,0,0,1,1.0000,1,10000.0000,1,1,1.0000,1,1,0,1,1.0000,1,0,0,0,,,,,,,/m/o/motors-mht-multi-torque-type_31_5_2.jpg,,,,,,,,,,,,
"SS-Lorem Ipsum Sub1-Red-20B",,Default,simple,"Default Category/Products/Circuit Breakers/Plain Air Circuit Breaker/Plain Air Circuit1/Plain Air Circuit1.2",base,"sorting-Lorem Ipsum Sub1-Red-20B","<p>One might not think that something as trivial as a description of a product could mean the difference between someone buying or not.</p>","<p>short description highlight</p>",1.000000,1,"Taxable Goods","Not Visible Individually",180.000000,,,,sorting-lorem-ipsum-sub1-red-20b,sorting,sorting,"sorting One might not think that something as trivial as a description of a product could mean the difference between someone buying or not.",,,,,,,,,"8/3/20, 8:36 AM","10/16/20, 5:21 AM",,,"Block after Info Column",,,,No,,,,,,,"Use config",,"amxnotif_hide_alert=No,brand=CIS Brand,cart2quote_quotable=Use default,color=Red,configurable_attr_options=color,3,-|rings,2,-|hydralic_fluid*,1,-|,cover_end_displace=2,cover_port=B,enable_advanced_layout=Yes,enable_delivery_options=No,hydraulic_fluid=–,in_html_sitemap=Yes,in_xml_sitemap=Yes,is_featured=0,mid_port=B,mid_pump_displace=11,pump_mounting=2,rings=Lorem Ipsum Sub1,shaft_end_displace=25,shaft_port=A,solenoid=20B,system_type=Medium,ts_packaging_type=None,use_in_crosslinking=Yes,usps_shipping_method=No",100000.0000,0.0000,1,0,0,1,1.0000,1,10000.0000,1,1,1.0000,1,1,0,1,1.0000,1,0,0,0,,,,,,,,,,,,,,,,,,,
"SS-Lorem Ipsum Sub1-Black-20B",,Default,simple,"Default Category/Products/Circuit Breakers/Plain Air Circuit Breaker/Plain Air Circuit1/Plain Air Circuit1.2",base,"sorting-Lorem Ipsum Sub1-Black-20B","<p>One might not think that something as trivial as a description of a product could mean the difference between someone buying or not.</p>","<p>short description highlight</p>",1.000000,1,"Taxable Goods","Not Visible Individually",180.000000,,,,sorting-lorem-ipsum-sub1-black-20b,sorting,sorting,"sorting One might not think that something as trivial as a description of a product could mean the difference between someone buying or not.",,,,,,,,,"8/3/20, 8:36 AM","10/16/20, 5:22 AM",,,"Block after Info Column",,,,No,,,,,,,"Use config",,"amxnotif_hide_alert=No,brand=CIS Brand,cart2quote_quotable=Use default,color=Black,configurable_attr_options=color,3,-|rings,2,-|hydralic_fluid*,1,-|,cover_end_displace=2,cover_port=B,enable_advanced_layout=Yes,enable_delivery_options=No,hydraulic_fluid=–,in_html_sitemap=Yes,in_xml_sitemap=Yes,is_featured=0,mid_port=B,mid_pump_displace=11,pump_mounting=2,rings=Lorem Ipsum Sub1,shaft_end_displace=25,shaft_port=A,solenoid=20B,system_type=Medium,ts_packaging_type=None,use_in_crosslinking=Yes,usps_shipping_method=No",100000.0000,0.0000,1,0,0,1,1.0000,1,10000.0000,1,1,1.0000,1,1,0,1,1.0000,1,0,0,0,,,,,,,,,,,,,,,,,,,
"SS-Lorem Ipsum Sub2-Red-20B",,Default,simple,"Default Category/Products/Circuit Breakers/Plain Air Circuit Breaker/Plain Air Circuit1/Plain Air Circuit1.2",base,"sorting-Lorem Ipsum Sub2-Red-20B","<p>One might not think that something as trivial as a description of a product could mean the difference between someone buying or not.</p>","<p>short description highlight</p>",1.000000,1,"Taxable Goods","Not Visible Individually",180.000000,,,,sorting-lorem-ipsum-sub2-red-20b,sorting,sorting,"sorting One might not think that something as trivial as a description of a product could mean the difference between someone buying or not.",,,,,,,,,"8/3/20, 8:36 AM","10/16/20, 5:21 AM",,,"Block after Info Column",,,,No,,,,,,,"Use config",,"amxnotif_hide_alert=No,brand=CIS Brand,cart2quote_quotable=Use default,color=Red,configurable_attr_options=color,3,-|rings,2,-|hydralic_fluid*,1,-|,cover_end_displace=2,cover_port=B,enable_advanced_layout=Yes,enable_delivery_options=No,hydraulic_fluid=F11,in_html_sitemap=Yes,in_xml_sitemap=Yes,is_featured=0,mid_port=B,mid_pump_displace=11,pump_mounting=2,rings=Lorem Ipsum Sub2,shaft_end_displace=25,shaft_port=A,solenoid=20B,system_type=Medium,ts_packaging_type=None,use_in_crosslinking=Yes,usps_shipping_method=No",100000.0000,0.0000,1,0,0,1,1.0000,1,10000.0000,1,1,1.0000,1,1,0,1,1.0000,1,0,0,0,,,,,,,,,,,,,,,,,,,
